ItemId,ItemName,ShopUrl
31684,A New Hope (Piano Collections) Orchestrion Roll,https://na.finalfantasyxiv.com/shop/
16045,Abes Boots,https://na.finalfantasyxiv.com/shop/
16043,Abes Gloves,https://na.finalfantasyxiv.com/shop/
16044,Abes Halfslops,https://na.finalfantasyxiv.com/shop/
16042,Abes Jacket,https://na.finalfantasyxiv.com/shop/
7569,Aetheryte Ticket,https://na.finalfantasyxiv.com/shop/
16795,All Saints' Wake Orchestrion Roll,https://na.finalfantasyxiv.com/shop/
47270,Alternative Cap,https://na.finalfantasyxiv.com/shop/
47272,Alternative Leather Bracelets,https://na.finalfantasyxiv.com/shop/
47271,Alternative Shirt,https://na.finalfantasyxiv.com/shop/
47274,Alternative Spiked Shoes,https://na.finalfantasyxiv.com/shop/
47273,Alternative Trousers,https://na.finalfantasyxiv.com/shop/
17526,Angel of Mercy,https://na.finalfantasyxiv.com/shop/
16559,Angelic Barding,https://na.finalfantasyxiv.com/shop/
16580,Angelic Chaplets,https://na.finalfantasyxiv.com/shop/
16578,Angelic Circlet,https://na.finalfantasyxiv.com/shop/
16581,Angelic Slops,https://na.finalfantasyxiv.com/shop/
16582,Angelic Thighboots,https://na.finalfantasyxiv.com/shop/
16579,Angelic Wings,https://na.finalfantasyxiv.com/shop/
17845,Answers - Reprise Orchestrion Roll,https://na.finalfantasyxiv.com/shop/
13321,Antecedent's Attire,https://na.finalfantasyxiv.com/shop/
21051,Aquamarine Carbuncle Whistle,https://na.finalfantasyxiv.com/shop/
44997,Archon Egg Parasol,https://na.finalfantasyxiv.com/shop/
21311,Authentic All Saints' Wake MMXIII Advertisement,https://na.finalfantasyxiv.com/shop/
31713,Authentic All Saints' Wake MMXV Advertisement,https://na.finalfantasyxiv.com/shop/
29690,Authentic Archon Egg Pile,https://na.finalfantasyxiv.com/shop/
37394,Authentic Archon Egg Pouch,https://na.finalfantasyxiv.com/shop/
22406,Authentic Boar's Head Kadomatsu,https://na.finalfantasyxiv.com/shop/
47226,Authentic Bouncing Bomb Balloons,https://na.finalfantasyxiv.com/shop/
17038,Authentic Broken Heart Chair (Left),https://na.finalfantasyxiv.com/shop/
17037,Authentic Broken Heart Chair (Right),https://na.finalfantasyxiv.com/shop/
48006,Authentic Cactuar Dining Table,https://na.finalfantasyxiv.com/shop/
41149,Authentic Caged Wisp,https://na.finalfantasyxiv.com/shop/
32965,Authentic Chocolate Fountain,https://na.finalfantasyxiv.com/shop/
40760,Authentic Copy of Buried Memory,https://na.finalfantasyxiv.com/shop/
44908,Authentic Copy of Crossroads,https://na.finalfantasyxiv.com/shop/
40761,"Authentic Copy of Gods Revel, Lands Tremble",https://na.finalfantasyxiv.com/shop/
41130,Authentic Copy of Growing Light,https://na.finalfantasyxiv.com/shop/
49860,Authentic Copy of Into the Mist,https://na.finalfantasyxiv.com/shop/
31706,Authentic Copy of Liberation,https://na.finalfantasyxiv.com/shop/
40759,Authentic Copy of Newfound Adventure,https://na.finalfantasyxiv.com/shop/
31710,Authentic Copy of Prelude in Violet,https://na.finalfantasyxiv.com/shop/
31711,Authentic Copy of Requiem for Heroes,https://na.finalfantasyxiv.com/shop/
31708,Authentic Copy of Rise of a New Sun,https://na.finalfantasyxiv.com/shop/
48133,Authentic Copy of Seekers of Eternity,https://na.finalfantasyxiv.com/shop/
31707,Authentic Copy of The Legend Returns,https://na.finalfantasyxiv.com/shop/
46117,Authentic Copy of The Promise of Tomorrow,https://na.finalfantasyxiv.com/shop/
51298,Authentic Copy of Trail to the Heavens,https://na.finalfantasyxiv.com/shop/
31709,Authentic Copy of Under the Moonlight,https://na.finalfantasyxiv.com/shop/
40762,Authentic Copy of the Dark Throne,https://na.finalfantasyxiv.com/shop/
37395,Authentic Costa del Hielo,https://na.finalfantasyxiv.com/shop/
27980,Authentic Curry Plate,https://na.finalfantasyxiv.com/shop/
21873,Authentic Eastern Cherry Petal Pile,https://na.finalfantasyxiv.com/shop/
32966,Authentic Eastern Stage,https://na.finalfantasyxiv.com/shop/
37482,Authentic Egg Barding,https://na.finalfantasyxiv.com/shop/
17041,Authentic Egg Floor Lamp,https://na.finalfantasyxiv.com/shop/
29692,Authentic Eggcentric Chocolate Cake,https://na.finalfantasyxiv.com/shop/
29691,Authentic Eggcentric Crown Roast,https://na.finalfantasyxiv.com/shop/
39434,Authentic Eggsemplary Basket,https://na.finalfantasyxiv.com/shop/
21874,Authentic Eggstravagant Interior Wall,https://na.finalfantasyxiv.com/shop/
23340,Authentic Evercold Shaved Ice,https://na.finalfantasyxiv.com/shop/
27983,Authentic Familiar Pawprints,https://na.finalfantasyxiv.com/shop/
22409,Authentic Far Eastern Doll Display,https://na.finalfantasyxiv.com/shop/
29688,Authentic Festive Chirashi-zushi,https://na.finalfantasyxiv.com/shop/
29689,Authentic Festive Sushi Balls,https://na.finalfantasyxiv.com/shop/
47228,Authentic Flying Pumpkin,https://na.finalfantasyxiv.com/shop/
21310,Authentic Ghost Candlestand,https://na.finalfantasyxiv.com/shop/
37396,Authentic Grilled Corn,https://na.finalfantasyxiv.com/shop/
22405,Authentic Hatching-tide Banner,https://na.finalfantasyxiv.com/shop/
37393,Authentic Hatching-tide Confections,https://na.finalfantasyxiv.com/shop/
32969,Authentic Hatching-tide MMXVIII Advertisement,https://na.finalfantasyxiv.com/shop/
39435,Authentic Hatching-tide Mobile,https://na.finalfantasyxiv.com/shop/
38671,Authentic Haunted Pumpkin Set,https://na.finalfantasyxiv.com/shop/
32964,Authentic Heavensturn Bounty,https://na.finalfantasyxiv.com/shop/
41151,Authentic Heavensturn Crane Banner,https://na.finalfantasyxiv.com/shop/
