SackItemId,ContainedItemId
16170,5827
16170,7564
16170,6177
16170,5889
16170,5888
16170,8142
16170,8143
16170,8144
16170,5672
16170,5673
16170,5677
16170,5678
16170,5667
16170,5668
16170,5717
16170,5718
16170,5722
16170,5723
16170,5682
16170,5683
16170,5632
16170,5633
16170,14830
16170,14832
16170,14835
16170,13272
16170,5891
16170,5892
16170,5890
16170,12054
16170,5894
16170,5893
16170,5895
16170,14852
16170,14853
16170,13268
16170,13270
16170,13271
16170,13266
16170,12056
16170,5899
16170,5900
16170,5896
16170,5905
16170,5901
16170,5903
16170,5897
16170,5898
16170,5904
16170,7566
16170,16703
16170,15924
16170,15925
16170,15921
16170,15926
16170,9349
16170,8202
16170,12057
16170,13275
16170,16014
16170,16015
16170,16780
16170,15475
16170,15474
16170,15472
16170,15473
16170,10394
16170,10391
16170,10388
16170,10393
16170,10392
16170,10396
16170,10390
16170,10395
16170,6188
16170,12053
16170,12049
16170,14942
16170,14940
16170,6184
16171,5827
16171,5889
16171,5888
16171,8143
16171,8144
16171,5672
16171,5673
16171,5677
16171,5678
16171,5667
16171,5668
16171,5717
16171,5718
16171,5722
16171,5723
16171,5682
16171,5683
16171,5632
16171,5633
16171,14830
16171,5891
16171,5892
16171,5890
16171,5894
16171,5893
16171,5895
16171,5899
16171,5900
16171,5896
16171,5905
16171,5901
16171,5903
16171,5897
16171,5898
16171,5904
16171,16703
16171,15924
16171,15925
16171,15921
16171,15926
16171,15475
16171,15474
16171,15472
16171,15473
16171,14942
16171,16812
16171,14941
16171,14943
16171,14837
16171,14834
16171,14832
16171,14833
16171,14836
16171,14852
16171,15923
16171,15922
16171,13833
16171,13828
16171,13832
16171,13827
16171,13829
16171,13824
16171,13820
16171,13810
16171,13815
16171,13821
16171,13811
16171,13816
16171,13831
16171,13826
16171,13804
16171,13823
16171,13813
16171,13818
16171,13822
16171,13812
16171,13817
16171,13830
16171,13825
16171,13819
16171,13809
16171,13814
16171,13805
16171,13807
16171,13808
16171,13806
16171,14850
16171,14939
16171,16573
16172,13114
16172,13115
16172,13708
16172,13709
16172,13710
16172,13711
16172,13712
16172,13713
16172,13714
16172,13715
16172,13716
16172,13116
16172,13117
16172,13717
16172,13718
16172,13719
16172,13720
16172,13721
16172,13722
16172,13723
16172,5894
16172,5893
16172,5895
16172,5899
16172,5900
16172,5896
16172,5905
16172,5901
16172,5903
16172,5897
16172,5898
16172,5904
16172,16703
16172,16812
16172,16573
16172,16558
16172,8355
16172,8357
16172,8358
16172,8359
16172,8360
16172,8361
16172,8362
16172,8363
16172,9234
16172,10408
16172,10470
16172,10532
16172,15915
16172,20358
16172,20359
16172,13791
16172,13792
16172,13790
16172,13795
16172,13794
16172,13799
16172,13797
16172,13798
16172,13800
16172,13801
16172,15097
16172,13803
16172,13796
16172,13793
16172,13802
16172,13851
16172,13857
16172,13858
16172,13860
16172,13862
16172,8379
16172,8380
16172,8374
16172,8376
16172,8377
16172,9236
16172,8378
16172,10473
16172,20367
16172,10410
16172,20366
16172,8373
16172,8381
16172,8375
16172,15916
16172,10534
16172,10471
16172,8367
16172,20362
16172,8364
16172,15913
16172,20363
16172,10533
16172,8368
16172,10409
16172,9235
16172,8366
16172,8365
16172,8370
16172,8369
16172,8371
16172,17965
16173,16573
16173,16558
16173,15586
16173,15588
16173,15592
16173,15585
16173,15590
16173,15595
16173,15594
16173,15589
16173,15593
16173,15591
16173,15596
16173,15584
16173,15587
16173,15582
16173,15572
16173,15578
16173,15581
16173,15576
16173,15580
16173,15577
16173,15574
16173,15579
16173,15575
16173,15573
16173,15571
16173,15570
16173,15564
16173,15565
16173,8389
16173,8388
16173,8387
16173,8384
16173,8385
16173,10472
16173,15914
16173,15559
16173,15562
16173,15557
16173,15560
16173,15568
16173,15569
16173,15563
16173,15561
16173,15558
16173,15556
16173,8386
16173,10411
16173,10535
16173,8382
16173,9237
16173,8390
16173,8383
16173,16564
16173,15566
16173,13835
16173,15567
23223,5888
23223,8142
23223,8143
23223,8144
23223,5683
23223,5894
23223,5893
23223,5895
23223,15441
23223,17544
23223,20560
23223,20530
23223,20524
23223,14844
23223,15447
23223,23228
23223,23227
23223,12082
23223,13770
23223,13769
23223,13272
23223,12061
23223,20542
23223,23045
23223,12083
23223,15427
23223,13279
23223,9355
23223,13283
23223,8570
23223,8201
23223,23369
23223,14100
23223,20525
23223,14849
23223,23319
23223,20558
23223,20531
23223,14080
23223,16572
23223,16557
23223,10394
23223,10388
23223,10392
23223,10395
23223,7552
23223,23044
23223,20546
23223,14095
23223,15436
23223,15437
23223,20545
23223,17522
23224,13114
23224,13115
23224,13708
23224,13709
23224,13710
23224,13711
23224,13712
23224,13713
23224,13714
23224,13715
23224,13716
23224,13116
23224,13117
23224,13717
23224,13718
23224,13719
23224,13720
23224,13721
23224,13722
23224,13723
23224,5888
23224,23045
23224,23044
23224,20476
23224,17852
23224,17464
23224,14246
23224,23228
23224,23227
23224,17467
23224,20542
23224,21205
23224,23048
23224,13279
23224,14245
23224,13283
23224,14100
23224,15462
23224,20525
23224,17970
23224,20477
23224,14241
23224,21206
23224,14243
23224,20528
23224,22482
23224,20547
23224,13284
23224,20546
23224,15436
23224,15437
23224,20545
23224,14094
23225,13284
23225,20545
