ItemId,ProductId
2638,35
2639,36
2640,37
2641,38
2645,15
2646,16
2647,17
2648,18
2659,68
2671,72
2707,69
2751,70
2809,71
2966,8
3748,129
3749,130
4199,81
4200,78
4301,61
4302,62
4303,63
4404,73
4405,76
4406,75
4407,74
4408,77
6033,184
6034,186
6035,185
6036,187
6037,188
6038,189
6039,190
6040,191
6106,19
6107,39
6108,40
6207,149
6217,391
6221,1
6221,2
6221,3
6964,20
6965,21
6966,22
6967,23
6969,9
6986,79
8124,12
8128,13
8164,14
8203,101
8204,102
8206,217
8715,133
8718,131
8722,25
8723,26
8724,27
8725,28
8726,30
8732,41
8732,151
8733,42
8733,152
8734,43
8734,153
8735,44
8735,241
8736,45
8736,242
8737,46
8737,154
8738,47
8738,155
8739,48
8739,156
8740,49
8740,157
8741,50
8741,158
8742,51
8742,159
8743,52
8743,160
8744,53
8744,161
8745,54
8745,82
8746,55
8746,83
8747,56
8747,84
8748,57
8748,85
8749,58
8749,86
8750,59
8750,87
8751,60
8751,88
9268,145
9269,146
9270,147
9271,148
9290,143
9345,144
9545,4
9546,5
9547,6
10066,192
10067,193
10068,196
10069,194
10070,195
10075,89
10316,219
10317,222
10318,221
10319,224
10320,220
10321,223
10328,315
12040,91
12047,90
12060,225
12065,226
13004,218
13098,245
13104,216
13113,244
13293,255
13294,256
13295,272
13296,273
13297,274
13298,287
13299,285
13335,203
13336,201
13337,200
13341,204
13342,202
13567,288
13568,286
13689,140
13690,141
13991,993
14081,300
14084,197
14236,302
14854,235
14855,235
14856,235
14857,236
14858,236
14859,236
14860,237
15095,238
15096,298
15428,289
15430,227
15434,366
15443,365
15482,386
15483,386
15484,386
15485,386
15486,386
15639,252
15640,252
15641,252
15642,253
15643,253
15644,253
15811,361
15812,364
15919,321
15920,314
15988,246
15989,247
15990,250
15991,251
15992,267
15993,263
15994,268
15995,260
15996,261
15997,262
15998,278
15999,279
16001,275
16002,248
16003,257
16004,258
16005,259
16006,265
16007,264
16008,277
16009,249
16010,266
16027,589
16028,591
16029,590
16042,571
16043,571
